[2023-05-12 10:23:07:0820] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[12396]
[2023-05-12 10:23:53:0781] | GigEVisionManager.cpp-L2308: AppGetCount[858], AppGetCountSucceed[856], ExpectRecv[856], NetRecv[856], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:23:53:0896] | GigEVisionManager.cpp-L2308: AppGetCount[858], AppGetCountSucceed[856], ExpectRecv[856], NetRecv[856], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:23:53:0896] | GigEVisionManager.cpp-L0898: disconnect device ...
[2023-05-12 10:23:53:0896] | GigEVisionManager.cpp-L2707: SendRsdCmd thread stop
[2023-05-12 10:23:53:0909] | GigEVisionManager.cpp-L2308: AppGetCount[858], AppGetCountSucceed[856], ExpectRecv[856], NetRecv[856], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2023-05-12 10:23:53:0915] | GigEVisionManager.cpp-L2840: event thread stop
[2023-05-12 10:23:54:0542] |   GigEVisionGVSP.cpp-L0417: [socket] NearBID[0], LastBID[0], output[0]
[2023-05-12 10:24:26:0389] | GigEVisionManager.cpp-L0272: driver mode start!
[2023-05-12 10:24:26:0389] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2023-05-12 10:24:26:0390] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:24:26:0390] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:24:26:0390] | GigEVisionManager.cpp-L0818: connecting device ... hostIP[a9fec2ce], hostPort[56391], devIP[a9fe4140]
[2023-05-12 10:24:26:0391] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fec2ce], m_nUpDevIP[a9fe4140]
[2023-05-12 10:24:26:0391] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:24:26:0393] | GigEVisionManager.cpp-L2769: event thread start...
[2023-05-12 10:24:26:0820] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fec2ce]
[2023-05-12 10:24:27:0028] | GigEVisionManager.cpp-L1152: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2023-05-12 10:24:27:0030] | GigEVisionManager.cpp-L2661: GigE SendRsdCmdThread Start, ThreadId[9044]
